indent,taxonID,rank,A id,A name,B id,B name,relation,other id,other name,note,reason,changed_props,unchanged
—————————————,10716,species,,,2652759,B.Millardia sp. AA-2019,,,,,,,
————————————,10717,species,,,2704125,B.Millardia kondana,,,,,,,
———————————,10718,genus,121584,A.Golunda,,,,,,,,,
————————————,10719,species,121585,A.Golunda ellioti,121585,B.Golunda ellioti,=,,,,canonicalName,number_of_children,
—————————————,10720,subspecies,,,2162857,B.Golunda ellioti ellioti,,,,,,,
—————————————,10721,subspecies,,,2162858,B.Golunda ellioti nuwara,,,,,,,
———————————,10722,genus,121586,A.Desmomys,,,,,,,,,
———————————,10724,genus,121588,A.Grammomys,121588,B.Grammomys,=,,,,canonicalName,number_of_children,
————————————,10725,species,248794,A.Grammomys macmillani,248794,B.Grammomys macmillani,=,,,,canonicalName,,tip
————————————,10726,species,408722,A.Grammomys gazellae,408722,B.Grammomys gazellae,=,,,,canonicalName,,tip
————————————,10727,species,491753,A.Grammomys cometes,491753,B.Grammomys cometes,=,,,,canonicalName,,tip
————————————,10728,species,491754,A.Grammomys dolichurus,491754,B.Grammomys dolichurus,=,,,,canonicalName,,tip
————————————,10729,species,491755,A.Grammomys ibeanus,491755,B.Grammomys ibeanus,=,,,,canonicalName,,tip
————————————,10730,species,491861,A.Grammomys surdaster,491861,B.Grammomys surdaster,=,,,,canonicalName,,tip
————————————,10731,species,,,498361,B.Grammomys poensis,,,,,,,
————————————,10732,species,,,2082270,B.Grammomys cf. macmillani TA-2018,,,,,,,
————————————,10733,,,,2636249,B.unclassified Grammomys,particle-set<=,121588,A.Grammomys,split,monotypic,,
—————————————,10734,species,121589,A.Grammomys sp.,121589,B.Grammomys sp.,=,,,moved,canonicalName,,tip
—————————————,10735,species,122201,A.Grammomys sp. Berega,122201,B.Grammomys sp. Berega,=,,,moved,canonicalName,,tip
—————————————,10736,species,333392,A.Grammomys sp. MNHN 1999-293,333392,B.Grammomys sp. MNHN 1999-293,=,,,moved,canonicalName,,tip
—————————————,10737,species,485424,A.Grammomys sp. PC-2007,485424,B.Grammomys sp. PC-2007,=,,,moved,canonicalName,,tip
